Original array: [64, 34, 25, 12, 22, 11, 90]
After iteration 1: [34, 64, 25, 12, 22, 11, 90]
After iteration 1: [34, 25, 64, 12, 22, 11, 90]
After iteration 1: [34, 25, 12, 64, 22, 11, 90]
After iteration 1: [34, 25, 12, 22, 64, 11, 90]
After iteration 1: [34, 25, 12, 22, 11, 64, 90]
After iteration 2: [25, 34, 12, 22, 11, 64, 90]
After iteration 2: [25, 12, 34, 22, 11, 64, 90]
After iteration 2: [25, 12, 22, 34, 11, 64, 90]
After iteration 2: [25, 12, 22, 11, 34, 64, 90]
After iteration 3: [12, 25, 22, 11, 34, 64, 90]
After iteration 3: [12, 22, 25, 11, 34, 64, 90]
After iteration 3: [12, 22, 11, 25, 34, 64, 90]
After iteration 4: [12, 11, 22, 25, 34, 64, 90]
After iteration 5: [11, 12, 22, 25, 34, 64, 90]
